Model,Accuracy,F1 Score,MSE,ROC AUC
Random Forest,0.8215436550560073,0.6122040680226742,0.17845634494399262,0.8487543428065859
Tuned Random Forest,0.8215436550560073,0.6122040680226742,0.17845634494399262,0.8487543428065859
